symbol,date,open,high,low,close,volume,adjclose,splits
hov,2020-09-14,31.440000534057617,33.09000015258789,28.700000762939453,29.389999389648438,530500,29.389999389648438,0.0
hov,2020-09-21,28.510000228881836,31.979999542236328,27.43000030517578,29.209999084472656,616300,29.209999084472656,0.0
hov,2020-09-28,30.020000457763672,36.720001220703125,29.81999969482422,35.90999984741211,780000,35.90999984741211,0.0
hov,2020-10-05,36.83000183105469,38.18000030517578,33.20000076293945,36.540000915527344,585300,36.540000915527344,0.0
hov,2020-10-12,37.099998474121094,37.099998474121094,33.599998474121094,35.16999816894531,327700,35.16999816894531,0.0
hov,2020-10-19,35.91999816894531,36.400001525878906,30.5,32.70000076293945,446700,32.70000076293945,0.0
hov,2020-10-26,32.150001525878906,34.20000076293945,30.049999237060547,31.760000228881836,3202500,31.760000228881836,0.0
hov,2020-11-02,32.47999954223633,40.380001068115234,32.20000076293945,36.040000915527344,1732500,36.040000915527344,0.0
hov,2020-11-09,38.0,40.25,34.84000015258789,39.86000061035156,723100,39.86000061035156,0.0
hov,2020-11-16,41.0,41.650001525878906,37.439998626708984,37.709999084472656,586900,37.709999084472656,0.0
hov,2020-11-23,38.099998474121094,42.470001220703125,38.0,40.58000183105469,601000,40.58000183105469,0.0
hov,2020-11-30,40.34000015258789,40.849998474121094,37.11000061035156,38.31999969482422,413000,38.31999969482422,0.0
hov,2020-12-07,38.599998474121094,39.79999923706055,33.15999984741211,33.79999923706055,996000,33.79999923706055,0.0
hov,2020-12-14,34.189998626708984,36.869998931884766,33.0,36.290000915527344,673400,36.290000915527344,0.0
hov,2020-12-21,35.40999984741211,37.189998626708984,34.52000045776367,36.16999816894531,286500,36.16999816894531,0.0
hov,2020-12-28,36.7599983215332,36.7599983215332,32.29999923706055,32.86000061035156,353500,32.86000061035156,0.0
hov,2021-01-04,32.7599983215332,33.36000061035156,30.170000076293945,31.809999465942383,499900,31.809999465942383,0.0
hov,2021-01-11,31.06999969482422,35.459999084472656,30.729999542236328,34.369998931884766,510200,34.369998931884766,0.0
hov,2021-01-18,34.9900016784668,41.0099983215332,34.0,40.79999923706055,524700,40.79999923706055,0.0
hov,2021-01-25,41.22999954223633,54.83000183105469,40.54999923706055,51.15999984741211,1030600,51.15999984741211,0.0
hov,2021-02-01,52.20000076293945,52.29999923706055,46.869998931884766,48.25,646500,48.25,0.0
hov,2021-02-08,48.880001068115234,59.560001373291016,47.70000076293945,55.400001525878906,706000,55.400001525878906,0.0
hov,2021-02-15,55.0,60.400001525878906,53.93000030517578,58.470001220703125,289200,58.470001220703125,0.0
hov,2021-02-22,58.4900016784668,61.189998626708984,52.209999084472656,57.52000045776367,539200,57.52000045776367,0.0
hov,2021-03-01,59.33000183105469,91.73999786376953,58.040000915527344,79.41999816894531,1387000,79.41999816894531,0.0
hov,2021-03-08,81.0,105.25,80.47000122070312,102.37000274658203,847300,102.37000274658203,0.0
hov,2021-03-15,104.12999725341797,114.25,96.5199966430664,105.19999694824219,630200,105.19999694824219,0.0
hov,2021-03-22,107.08999633789062,112.43000030517578,92.0999984741211,110.04000091552734,588800,110.04000091552734,0.0
hov,2021-03-29,110.62000274658203,116.76000213623047,101.08999633789062,116.76000213623047,429400,116.76000213623047,0.0
hov,2021-04-05,118.86000061035156,119.44999694824219,106.0,113.01000213623047,371800,113.01000213623047,0.0
hov,2021-04-12,112.77999877929688,115.83000183105469,103.18000030517578,115.48999786376953,273900,115.48999786376953,0.0
hov,2021-04-19,114.79000091552734,128.8800048828125,108.01000213623047,125.56999969482422,466500,125.56999969482422,0.0
hov,2021-04-26,126.83000183105469,135.8300018310547,125.55999755859375,132.58999633789062,408300,132.58999633789062,0.0
hov,2021-05-03,134.35000610351562,141.0,122.0,130.9600067138672,486900,130.9600067138672,0.0
hov,2021-05-10,133.05999755859375,138.24000549316406,108.12000274658203,118.66999816894531,630700,118.66999816894531,0.0
hov,2021-05-17,117.56999969482422,128.5500030517578,109.80000305175781,121.16999816894531,316800,121.16999816894531,0.0
hov,2021-05-24,122.83000183105469,146.33999633789062,120.48999786376953,142.42999267578125,449600,142.42999267578125,0.0
hov,2021-05-31,145.38999938964844,146.3000030517578,110.02999877929688,110.44999694824219,891000,110.44999694824219,0.0
hov,2021-06-07,111.51000213623047,113.87000274658203,92.58999633789062,94.51000213623047,1135500,94.51000213623047,0.0
hov,2021-06-14,94.56999969482422,98.66999816894531,88.05000305175781,96.45999908447266,715300,96.45999908447266,0.0
hov,2021-06-21,97.44000244140625,110.2699966430664,97.4000015258789,98.66999816894531,1452400,98.66999816894531,0.0
hov,2021-06-28,98.93000030517578,109.44000244140625,97.73999786376953,101.0,637700,101.0,0.0
hov,2021-07-05,100.2699966430664,103.75,91.26000213623047,101.2699966430664,600800,101.2699966430664,0.0
hov,2021-07-12,101.12000274658203,102.55999755859375,85.05999755859375,86.08999633789062,507000,86.08999633789062,0.0
hov,2021-07-19,83.73999786376953,96.20999908447266,81.02999877929688,94.7300033569336,419300,94.7300033569336,0.0
hov,2021-07-26,94.02999877929688,108.01000213623047,90.55000305175781,104.38999938964844,404700,104.38999938964844,0.0
hov,2021-08-02,104.83999633789062,108.9000015258789,100.83000183105469,106.61000061035156,306500,106.61000061035156,0.0
hov,2021-08-09,106.08000183105469,109.5,100.11000061035156,100.69999694824219,361100,100.69999694824219,0.0
hov,2021-08-16,100.05999755859375,105.3499984741211,93.18000030517578,100.80999755859375,352500,100.80999755859375,0.0
hov,2021-08-23,102.77999877929688,106.56999969482422,97.73999786376953,104.8499984741211,357200,104.8499984741211,0.0
hov,2021-08-30,105.37999725341797,112.5199966430664,97.23999786376953,101.45999908447266,586100,101.45999908447266,0.0
hov,2021-09-06,102.51000213623047,106.94000244140625,93.0199966430664,103.26000213623047,592200,103.26000213623047,0.0
hov,2021-09-13,105.41999816894531,106.0,98.16999816894531,100.38999938964844,334400,100.38999938964844,0.0
hov,2021-09-20,97.5,103.98999786376953,94.01000213623047,100.33000183105469,255600,100.33000183105469,0.0
hov,2021-09-27,100.30000305175781,103.73999786376953,93.26000213623047,95.44000244140625,270800,95.44000244140625,0.0
hov,2021-10-04,94.91000366210938,97.0,80.62999725341797,82.37000274658203,571500,82.37000274658203,0.0
hov,2021-10-11,82.08999633789062,90.79000091552734,80.94999694824219,85.94999694824219,290400,85.94999694824219,0.0
hov,2021-10-18,85.19000244140625,92.68000030517578,84.52999877929688,89.12000274658203,224900,89.12000274658203,0.0
hov,2021-10-25,89.4800033569336,91.94999694824219,83.69999694824219,84.26000213623047,279100,84.26000213623047,0.0
hov,2021-11-01,85.37999725341797,91.30999755859375,84.33000183105469,89.0999984741211,303500,89.0999984741211,0.0
hov,2021-11-08,90.0,91.0,85.77999877929688,88.4000015258789,280000,88.4000015258789,0.0
hov,2021-11-15,88.80999755859375,98.62000274658203,86.0,91.58999633789062,323100,91.58999633789062,0.0
hov,2021-11-22,92.5999984741211,95.7699966430664,87.30999755859375,90.5999984741211,223100,90.5999984741211,0.0
hov,2021-11-29,91.79000091552734,103.04000091552734,88.05000305175781,97.45999908447266,515600,97.45999908447266,0.0
hov,2021-12-06,97.6500015258789,132.0,97.6500015258789,131.8699951171875,905700,131.8699951171875,0.0
hov,2021-12-13,131.27000427246094,133.99000549316406,110.83999633789062,114.75,383900,114.75,0.0
hov,2021-12-20,111.86000061035156,130.0,109.0,125.48999786376953,274400,125.48999786376953,0.0
hov,2021-12-27,126.70999908447266,133.27000427246094,125.05000305175781,127.29000091552734,375100,127.29000091552734,0.0
hov,2022-01-03,128.22999572753906,130.5,111.6500015258789,112.43000030517578,407900,112.43000030517578,0.0
hov,2022-01-10,110.4800033569336,126.37999725341797,107.81999969482422,119.86000061035156,391900,119.86000061035156,0.0
hov,2022-01-17,118.66999816894531,118.66999816894531,93.12000274658203,96.86000061035156,437600,96.86000061035156,0.0
hov,2022-01-24,94.5199966430664,105.5,89.2300033569336,93.12999725341797,380900,93.12999725341797,0.0
hov,2022-01-31,92.7300033569336,101.31999969482422,90.20999908447266,93.29000091552734,329200,93.29000091552734,0.0
hov,2022-02-07,93.2300033569336,102.0,91.13999938964844,92.91000366210938,243200,92.91000366210938,0.0
hov,2022-02-14,93.12999725341797,96.79000091552734,85.77999877929688,91.19000244140625,340500,91.19000244140625,0.0
hov,2022-02-21,90.26000213623047,92.05000305175781,79.55999755859375,91.69999694824219,341200,91.69999694824219,0.0
hov,2022-02-28,90.83999633789062,97.38999938964844,83.12000274658203,84.2699966430664,504200,84.2699966430664,0.0
hov,2022-03-07,84.75,84.83999633789062,66.66000366210938,67.43000030517578,584700,67.43000030517578,0.0
hov,2022-03-14,67.5,78.19999694824219,60.470001220703125,76.94999694824219,578400,76.94999694824219,0.0
hov,2022-03-21,76.63999938964844,76.63999938964844,61.11000061035156,63.02000045776367,565600,63.02000045776367,0.0
hov,2022-03-28,63.02000045776367,66.94999694824219,58.0,58.630001068115234,606700,58.630001068115234,0.0
hov,2022-04-04,58.65999984741211,59.11000061035156,50.810001373291016,51.84000015258789,534800,51.84000015258789,0.0
hov,2022-04-11,50.77000045776367,55.970001220703125,50.150001525878906,50.5099983215332,426100,50.5099983215332,0.0
hov,2022-04-18,50.529998779296875,53.38999938964844,46.220001220703125,46.45000076293945,695100,46.45000076293945,0.0
hov,2022-04-25,45.5,49.959999084472656,44.63999938964844,46.02000045776367,602200,46.02000045776367,0.0
hov,2022-05-02,46.25,50.880001068115234,44.40999984741211,46.45000076293945,538200,46.45000076293945,0.0
hov,2022-05-09,45.45000076293945,47.880001068115234,40.0,45.529998779296875,709500,45.529998779296875,0.0
hov,2022-05-16,45.13999938964844,46.86000061035156,42.349998474121094,44.5099983215332,453700,44.5099983215332,0.0
hov,2022-05-23,45.13999938964844,51.5099983215332,40.68000030517578,50.40999984741211,473500,50.40999984741211,0.0
hov,2022-05-30,49.599998474121094,58.72999954223633,49.189998626708984,56.540000915527344,546000,56.540000915527344,0.0
hov,2022-06-06,58.040000915527344,61.279998779296875,52.72999954223633,54.0,619200,54.0,0.0
hov,2022-06-13,51.459999084472656,51.540000915527344,39.77000045776367,40.220001220703125,645600,40.220001220703125,0.0
hov,2022-06-20,41.40999984741211,47.93000030517578,39.689998626708984,47.33000183105469,486200,47.33000183105469,0.0
hov,2022-06-27,47.189998626708984,48.380001068115234,41.970001220703125,46.20000076293945,279300,46.20000076293945,0.0
hov,2022-07-04,44.58000183105469,50.0,44.58000183105469,45.599998474121094,215700,45.599998474121094,0.0
hov,2022-07-11,44.88999938964844,46.459999084472656,41.25,42.81999969482422,353100,42.81999969482422,0.0
hov,2022-07-18,43.2599983215332,52.16999816894531,42.70000076293945,50.0099983215332,334300,50.0099983215332,0.0
hov,2022-07-25,50.0099983215332,50.0099983215332,45.5,48.5099983215332,277800,48.5099983215332,0.0
hov,2022-08-01,47.66999816894531,49.68000030517578,44.20000076293945,46.63999938964844,345900,46.63999938964844,0.0
hov,2022-08-08,47.4900016784668,52.81999969482422,45.9900016784668,52.20000076293945,368000,52.20000076293945,0.0
hov,2022-08-15,52.2599983215332,52.2599983215332,46.08000183105469,46.540000915527344,235400,46.540000915527344,0.0
hov,2022-08-22,46.220001220703125,46.630001068115234,42.36000061035156,42.77000045776367,344200,42.77000045776367,0.0
hov,2022-08-29,42.400001525878906,44.79999923706055,39.29999923706055,41.189998626708984,451300,41.189998626708984,0.0
hov,2022-09-05,41.16999816894531,43.29999923706055,38.22999954223633,43.130001068115234,283100,43.130001068115234,0.0
hov,2022-09-12,43.5,44.08000183105469,39.150001525878906,41.790000915527344,370800,41.790000915527344,0.0
hov,2022-09-19,41.43000030517578,44.060001373291016,36.7400016784668,37.68000030517578,447800,37.68000030517578,0.0
hov,2022-09-26,37.4900016784668,38.7400016784668,35.34000015258789,35.70000076293945,355500,35.70000076293945,0.0
hov,2022-10-03,36.380001068115234,43.81999969482422,35.599998474121094,40.33000183105469,365900,40.33000183105469,0.0
hov,2022-10-10,40.38999938964844,42.540000915527344,35.790000915527344,35.9900016784668,265700,35.9900016784668,0.0
hov,2022-10-17,36.97999954223633,38.400001525878906,33.20000076293945,34.66999816894531,420600,34.66999816894531,0.0
hov,2022-10-24,34.77000045776367,42.599998474121094,33.869998931884766,40.400001525878906,455100,40.400001525878906,0.0
hov,2022-10-31,39.150001525878906,41.47999954223633,36.060001373291016,37.7599983215332,279500,37.7599983215332,0.0
hov,2022-11-07,38.25,47.36000061035156,35.84000015258789,46.79999923706055,634500,46.79999923706055,0.0
hov,2022-11-14,45.9900016784668,48.33000183105469,39.90999984741211,41.75,352200,41.75,0.0
hov,2022-11-21,41.90999984741211,46.5,40.4900016784668,45.630001068115234,161700,45.630001068115234,0.0
hov,2022-11-28,45.130001068115234,50.61000061035156,44.09000015258789,49.56999969482422,458800,49.56999969482422,0.0
hov,2022-12-05,48.959999084472656,50.72999954223633,41.54999923706055,42.40999984741211,453900,42.40999984741211,0.0
hov,2022-12-12,42.189998626708984,48.599998474121094,42.189998626708984,47.90999984741211,608900,47.90999984741211,0.0
hov,2022-12-19,46.95000076293945,47.869998931884766,43.2599983215332,46.88999938964844,372500,46.88999938964844,0.0
hov,2022-12-26,46.599998474121094,48.33000183105469,41.279998779296875,42.08000183105469,386800,42.08000183105469,0.0
hov,2023-01-02,43.040000915527344,45.75,41.95000076293945,44.779998779296875,254500,44.779998779296875,0.0
hov,2023-01-09,45.310001373291016,51.2599983215332,43.349998474121094,51.09000015258789,444600,51.09000015258789,0.0
hov,2023-01-16,51.279998779296875,52.310001373291016,46.369998931884766,51.41999816894531,261700,51.41999816894531,0.0
hov,2023-01-23,51.70000076293945,58.0,51.70000076293945,56.0099983215332,471400,56.0099983215332,0.0
hov,2023-01-30,55.349998474121094,72.2300033569336,53.849998474121094,71.47000122070312,648900,71.47000122070312,0.0
hov,2023-02-06,70.72000122070312,74.5,64.01000213623047,65.7699966430664,469000,65.7699966430664,0.0
hov,2023-02-13,66.25,69.5199966430664,62.0099983215332,63.25,338400,63.25,0.0
hov,2023-02-20,61.529998779296875,67.16999816894531,60.060001373291016,64.12999725341797,261700,64.12999725341797,0.0
hov,2023-02-27,64.87999725341797,71.08000183105469,64.87999725341797,70.30000305175781,479300,70.30000305175781,0.0
hov,2023-03-06,70.62999725341797,71.44999694824219,63.209999084472656,65.02999877929688,424100,65.02999877929688,0.0
hov,2023-03-13,63.209999084472656,67.12000274658203,61.0099983215332,63.34000015258789,476400,63.34000015258789,0.0
hov,2023-03-20,64.0999984741211,68.05000305175781,61.2400016784668,65.75,379000,65.75,0.0
hov,2023-03-27,67.16000366210938,68.7699966430664,63.650001525878906,67.83999633789062,274800,67.83999633789062,0.0
hov,2023-04-03,68.0199966430664,69.45999908447266,61.099998474121094,62.20000076293945,225800,62.20000076293945,0.0
hov,2023-04-10,61.90999984741211,66.61000061035156,61.630001068115234,64.55000305175781,209100,64.55000305175781,0.0
hov,2023-04-17,64.73999786376953,73.29000091552734,63.38999938964844,71.06999969482422,291700,71.06999969482422,0.0
hov,2023-04-24,71.2300033569336,74.0,67.0999984741211,73.7699966430664,292000,73.7699966430664,0.0
hov,2023-05-01,73.72000122070312,77.31999969482422,71.22000122070312,74.83999633789062,263300,74.83999633789062,0.0
hov,2023-05-08,74.48999786376953,84.08999633789062,74.0199966430664,80.94999694824219,231200,80.94999694824219,0.0
hov,2023-05-15,81.08000183105469,92.5999984741211,79.05999755859375,90.98999786376953,292000,90.98999786376953,0.0
hov,2023-05-22,91.54000091552734,93.18000030517578,86.61000061035156,92.80000305175781,261400,92.80000305175781,0.0
hov,2023-05-29,93.25,95.98999786376953,78.5,88.16999816894531,395500,88.16999816894531,0.0
hov,2023-06-05,88.30999755859375,93.5,86.9800033569336,90.95999908447266,301200,90.95999908447266,0.0
hov,2023-06-12,90.66000366210938,103.0,89.9000015258789,97.81999969482422,291200,97.81999969482422,0.0
hov,2023-06-19,97.55999755859375,102.79000091552734,91.05000305175781,92.33000183105469,452200,92.33000183105469,0.0
hov,2023-06-26,92.30000305175781,100.6500015258789,90.94999694824219,99.20999908447266,394300,99.20999908447266,0.0
hov,2023-07-03,98.3499984741211,99.7300033569336,89.66999816894531,92.63999938964844,233000,92.63999938964844,0.0
hov,2023-07-10,92.5199966430664,109.3499984741211,92.5199966430664,109.19000244140625,343300,109.19000244140625,0.0
hov,2023-07-17,108.11000061035156,110.95999908447266,98.94999694824219,99.66000366210938,281600,99.66000366210938,0.0
hov,2023-07-24,100.16999816894531,107.75,98.20999908447266,107.19000244140625,240000,107.19000244140625,0.0
hov,2023-07-31,107.83000183105469,109.98999786376953,99.0199966430664,104.48999786376953,213500,104.48999786376953,0.0
hov,2023-08-07,103.79000091552734,109.0,102.62000274658203,103.52999877929688,148900,103.52999877929688,0.0
hov,2023-08-14,102.9800033569336,105.9800033569336,89.7699966430664,94.1500015258789,223000,94.1500015258789,0.0
hov,2023-08-21,95.19999694824219,97.69999694824219,89.62999725341797,94.16999816894531,275300,94.16999816894531,0.0
hov,2023-08-28,95.6500015258789,126.20999908447266,92.75,125.3499984741211,626800,125.3499984741211,0.0
hov,2023-09-04,124.0,127.98999786376953,116.05000305175781,122.68000030517578,296800,122.68000030517578,0.0
hov,2023-09-11,124.62000274658203,125.25,109.62999725341797,113.27999877929688,238600,113.27999877929688,0.0
hov,2023-09-18,112.9800033569336,114.31999969482422,99.5999984741211,101.6500015258789,234700,101.6500015258789,0.0
hov,2023-09-25,101.0,104.81999969482422,96.7699966430664,101.66000366210938,203000,101.66000366210938,0.0
hov,2023-10-02,102.16999816894531,105.66999816894531,84.63999938964844,85.88999938964844,338400,85.88999938964844,0.0
